Dimension,Potencia,Tiempo Promedio (s),CPU Promedio (%),RAM Promedio (%)
9,700,0.05624148607254029,2.0874,0.1062411725660006
9,800,0.05680523872375488,2.6434999999999995,0.1062469956171356
9,900,0.056669251918792726,1.9947,0.10624652833525441
9,1000,0.05778627157211304,2.7516999999999996,0.1062629311274434
10,100,0.04430908679962158,2.101714285714286,0.1062676878173623
10,200,0.050573177337646484,3.5925,0.10626574080952393
10,300,0.05245468378067017,2.71,0.10625675794771933
10,400,0.05198048830032349,2.2224444444444442,0.1062622694776002
10,500,0.05151857614517212,2.013888888888889,0.1062595802770303
10,600,0.05770587205886841,2.5164,0.10625739563438912
10,700,0.05706486225128174,2.2773,0.10625568226749134
10,800,0.05766392469406128,2.2593,0.10625980393331531
10,900,0.061442294120788575,2.8758999999999997,0.1062597320437951
10,1000,0.062265193462371825,3.3549,0.1062872896931995
